Year,Subject,Question,Option1,Option2,Option3,Option4,Answer1,Answer2,Answer3,Answer4,Image Link(if any)
2013,Maths,"\begin{array}{l c c}{{\mathrm{~Let~complex~numbers~}\alpha\mathrm{~and~}\frac{1}{\Omega}\mathrm{~ile~on~circles~}(x-x_{0})^{2}+\mathrm{~}(y-y_{0})^{2}=r^{2}\mathrm{~and~}}}\\ {{\mathrm{~}(x-x_{0})^{2}+(y-y_{0})^{2}=4r^{2},\mathrm{~respectively.~if~}z_{0}=x_{0}+i\gamma_{0}\mathrm{~satisfies~the~equation}}}\\ {{\mathrm{~}2\,|z_{0}|^{2}=r^{2}+2,\mathrm{~then~}|\alpha|=}}\\ \end{array}",\frac{1}{\sqrt{2}},\frac{1}{2},\frac{1}{\sqrt{7}},\frac{1}{3},0,0,1,0,
2013,Maths,"\begin{array}{l }{{.}}&{{\mathrm{Four~persons~independently~solve~a~certain~problem~correctly~with~probabilities}}}\\ {{\,\frac{1}{2},\frac{3}{4},\frac{1}{4},\frac{1}{8}\,.\,\mathrm{Then~the~probability~that~the~problem~is~solved~correctly~by~at~least~one}}}\\ {{\,\,\,\mathrm{of~them~is~}}}\end{array}",\frac{235}{256},\frac{21}{256},\frac{3}{256},\frac{253}{256},1,0,0,0,
2013,Maths,"\begin{array}{l l}{{}}&{{\mathrm{,~Let~}f\!:\left[\frac{1}{2},1\right]\!\to\mathbb{R}\,{\mathrm{~(the~set~of~all~real~numbers)~be~a~positive,~non-constant~\and~}}}}\\ {{}}&{{\mathrm{differentiable~function~such~that~}f^{\prime}(x)<2~f(x){\mathrm{~and~}}f\!\left(\!\frac{1}{2}\!\right)\!=1\mathrm{~.~Then~the~value~of~}}}\\ {{}}&{{\displaystyle{\left\{\begin{array}{l l}{f(x)\,d x\,{\mathrm{~lies~in~the~interval~}}}\\ {\,}\end{array}\right.}}}\\ {{}}&{{}}\\ {{}}\end{array}","(2\,e-1,2e)","(e-1,2e-1)","\left(\frac{e-1}{2},e-1\right)","\left(0,\frac{e-1}{2}\right)",0,0,0,1,
2013,Maths,"\begin{array} \cdot {\mathrm{~The~number~of~points~in~}}(-\infty,\infty){\mathrm{,~for~which~}}x^{2}-x\sin x-\cos x=0{\mathrm{,~is~}} \end{array}",6,4,2,0,0,0,1,0,
2013,Maths,"\begin{array}{l} \mathrm{The~area~enclosed~by~the~curves~}y=\sin x+\cos x\mathrm{~and~}y=|\cos x-\sin x|\quad\mathrm{over~the~}\\ \mathrm{interval}\left[0,\frac{\pi}{2}\right]\mathrm{~is}\\ \end{array}",4(\sqrt{2}-1),2\sqrt{2}(\sqrt{2}-1),2(\sqrt{2}+1),2\sqrt{2}(\sqrt{2}+1),0,1,0,0,
2013,Maths,"\begin{array}{l l}\text{A curve passes through the point } \left(1, \frac{\pi}{6}\right). & \text{Let the slope of the curve at each point} \\& \text{ }(x, y)\text{ be }\frac{y}{x} + \sec\left(\frac{y}{x}\right), x > 0. \text{ Then the equation of the curve is} \\\end{array}",\sin\left(\frac{y}{x}\right) = \log(x) + \frac{1}{2},\cos\left(\frac{y}{x}\right) = \log(x) + 2,\sec\left(\frac{2y}{x}\right) = \log(x) + 2,\cos\left(\frac{2y}{x}\right) = \log(x) + \frac{1}{2},1,0,0,0,
2013,Maths,\begin{array} \text{Find } \cot\left(\sum_{n=1}^{23}\cot^{-1}\left(1+\sum_{k=1}^{n}2k\right)\right) \\ \end{array},\frac{23}{25},\frac{25}{23},\frac{23}{24},\frac{24}{23},0,1,0,0,
2013,Maths,"\begin{array}{l l}{{.}}&{{{\mathrm{For~}}a>b>c>0,{\mathrm{~the~distance~between~(1,~1)~and~the~point~of~intersection~of~the}}}}\\ {{}}&{{\mathrm{lines~}\ a x+b y+c=0\ \mathrm{~and~}\ b x+a y+c=0\ \mathrm{~is~less~than~2\sqrt{2}~.~Then}}}\\\end{array}",a+b-c>0,a-b+c<0,a-b+c>0,a+b-c<0,1,0,1,0,
2013,Maths,\begin{array}{l c}{{\mathrm{Perpendiculars~are~drawn~from~points~on~the~line~}\frac{x+2}{2}\!=\!\frac{y+1}{-1}\!=\!\frac{z}{3}}}&{{\mathrm{to~the~plane}}}\\ {{x+y+z=3.~\mathrm{The~feet~of~perpendicularars~lie~on~the~line}}}\\ \end{array},\frac{x}{5}\!-\!\frac{y-1}{8}\!=\!\frac{z-2}{-13}},\frac{x}{2}\!=\!\frac{y-1}{3}\!=\!\frac{z-2}{-5}},\frac{x}{4}\!=\!\frac{y-1}{3}\!=\!\frac{z-2}{-7},\frac{x}{2}\!=\!\frac{y-1}{-7}\!=\!\frac{z-2}{5}},0,0,0,1,
2013,Maths,"\begin{array}{l}{{\mathrm{.~Let~}{\vec{P R}}=3{\hat{\vec{i}}}+{\hat{\vec{j}}}-2{\hat{\vec{k}}}\,\,\,{\mathrm{and}}\,\,{\vec{S Q}}={\hat{\vec{i}}}-3{\hat{\vec{j}}}-4{\hat{\vec{k}}}\,\,\,{\mathrm{determan~diagnosis~of~a~parallelc o g r a m e l l e o g r a m}}}}\\ {{P Q R S~~~{\mathrm{and}}~~{\vec{P T}}={\hat{\vec{i}}}+2{\hat{\vec{j}}}+3{\hat{\vec{k}}}\,\,\,\,{\mathrm{be}}\,\,\,{\mathrm{another}}\,\,\,\,{\mathrm{vector.}}\,\,\,\,{\mathrm{Then~the~volume~of~the~vector~\,}}}}\\ {{{\mathrm{paralleleop i p e p i d ~d e t e m i n ed ~ by~the ~vectors~ {\vec{P T}}~{\vec{P Q}}~{\vec{P S}}~is }}}}\end{array}",20,10,30,5,0,0,1,0,
2013,Maths,\begin{array}{r l r l r l r l}{{}}&{{}}&{{}}&{{\bf51.}}&{{\mathrm{~Let~}}S_{n}=\sum_{k\;k\;-1}^{4n}(-1)^{\frac{\ell(k+1)}{2}}k^{2}.}&{{\mathrm{Then~}}S_{n}\;{\mathrm{can~take~value}}({\bf s})}&{}&{}&{{}}\\ {{}}\end{array},1056,1088,1120,1332,1,0,0,1,
2013,Maths,"\begin{array}{l l}{{.}}&{{\mathrm{For}\3\times3\,\mathrm{~matrices~}M\,\mathrm{and~}N,\,\mathrm{which~of~the~following~statement(s)~is~(\mathrm{are)~NOT~correct}}\,?}}\end{array}","N^{T}\!M\,N\,\mathrm{is~symmetric~or~skew~symmetric,~according~as~}M\,\mathrm{is~symmetric~or~skew~symmetric}","M\,N\!-\!N\,M\,\mathrm{is~skew~symmetric~for~all~symmetric~matrices~}M\,\mathrm{and~}N","M\,N\,\mathrm{is~symmetric~for~all~symmetric~matrices~}M\,\mathrm{and~}N","(a d j\,M)\,(a d j\,N)=a d j\,(M\,N)\,\mathrm{~for~all~invertible~matrices~}M\,\mathrm{and~}N",0,0,1,1,
2013,Maths,"\begin{array}{l}{\operatorname{Let}f(x)=x\sin\,\pi\,x,x>0\,.\,\mathrm{Then\,~for~all~natural~numbers}\,n,f^{\prime}(x)\,{\mathrm{~vanishes~at~}}}\end{array}","a~unique~point~in~the~interval}}\left(n,\,n+{\frac{1}{2}}\right)","a~unique~point~in~the~interval}}\left(n+{\frac{1}{2}},\,n+1\right)","a~unique~point~in~the~interval}}\left(n,\,n+1\right)","two~points~in~the~interval}}\left(n,\,n+1\right",0,1,1,0,
2013,Maths,"\begin{array}{l}{{\displaystyle{A\mathrm{~rectangular~sheet~of~fixed~perimeter~with~sides~having~their~lengths~in~the~ratio~}}}}\\ {{\displaystyle{8:15~\mathrm{~is~converted~into~an~open~rectangular~box~by~folding~after~removing~squares~of~two~primes}}}}\\ {{\mathrm{equal~area~from~all~four~corners.~If~the~total~area~of~removed~squares~is~100,~the~resulting~box~has~maximum~volume.~Then~the~lengths~of~the~sides~of~the~rectangular~sheet~are}}}\end{array}}.",24,32,45,60,1,0,1,0,
2013,Maths,"\begin{array}{l}{{\mathrm{~A~line~}l~~p a ssing ~through~the ~origin~is ~ p er pendicular~to~the~lin e~}}\\ {{l_{1}:(3+t)\hat{\hat{\imath}}+(-1+2t)\hat{\hat{\jmath}}+(4+2t)\hat{\hat{k}}~,-\infty<t<\infty}}\\ {{l_{2}:(3+2s)\hat{\hat{\imath}}+(3+2s)\hat{\hat{\jmath}}+(2+s)\hat{\hat{k}}~,-\infty<s<\infty}}\\ {{\mathrm{~Then,~the~coordinate(s)~of~the~point(s)~on~}l_{2}~at~a~distance~of~\sqrt{17}~\mathrm{~from~the~point~of~}}}\\ {{\mathrm{~intersection~of~}l~{\mathrm{~and~}}l_{1}\mathrm{~is~(are)}}}\end{array}","\left(\frac{7}{3},\frac{7}{3},\frac{5}{3}\right)","(-1,-1,0)","\left(1,1,1\right)","\left(\frac{7}{9},\frac{7}{9},\frac{8}{9}\right)",0,1,0,1,
2013,Physics,\begin{array}{l}{{\mathrm{~The~diameter~of~a~cylinder~is~measured~using~a~Vernier~callipers~with~no~zero~error.~It~}}}\\ {{\mathrm{~is~found~that~the~zero~of~the~Vernier~scale~lies~between~5.10~c m~and~5.15~c m~of~the~}}}\\ {{\mathrm{~main~scale.~The~Vernier~scale~has~50~divisions~equivalent~to~2.45~c m.~}}}\\ {{\mathrm{~division~of~the~Vernier~scale~exactly~coincides~with~one~of~the~main~scale~divisions.~}}}\\ {{\mathrm{~The~diameter~of~the~cylinder~is~}}}\end{array},5.112cm,5.124cm,5.136cm,5.148cm,0,1,0,0,
2013,Physics,"A ray of light travelling in the direction \begin{array}
{\mathrm{}}{\frac{1}{2}}{\Big(}{\hat{i}}+{\sqrt{3}}{\hat{j}}{\Big)}{\mathrm{~is~incident~on~a~plane~mirror.~After~}}
\end{array} reflection, it travels
along the direction \begin{array}
{\mathrm}{\frac{1}{2}}{\Big(}{\hat{i}}-{\sqrt{3}}{\hat{j}}{\Big)}
\end{array}    .The angle of incidence is",30\textdegree,45\textdegree,60\textdegree,75\textdegree,1,0,0,0,
2013,Physics,"\begin{array}{l}{{{\mathrm{In~the~Young's~double~slit~experiment~using~a~monochromatic~light~of~wavelength~}}\lambda,}}\\ {{{\mathrm{the~path~difference~(in~terms~of~an~integer~}n)~corresponding~to~any~point~having~half}}}\\ {{{\mathrm{the~peak~intensity~is}}}} \end{array}",\left(2n+1\right)\frac{\lambda}{2},\left(2n+1\right)\frac{\lambda}{4},\left(2n+1\right)\frac{\lambda}{8},\left(2n+1\right)\frac{\lambda}{16},0,1,0,0,
2013,Physics,"\begin{array}{l c r}{{\mathrm{Two~non-reactive~monoatomic~ideal~gases~have~their~atomic~masses~in~the~ratio~}}}\\ {{2:3.\;\mathrm{The~ratio~of~their~parallel~pressures,~when~enclosed~in~a~vessel~k e p t~at~a~}}}\\ {{\mathrm{constant~temperature,~is~4:3.\;The~ratio~of~their~densities~is~}}}\end{array}",01:04,01:02,06:09,08:09,0,0,0,1,
2013,Physics,"\begin{array}{l}{{\mathrm{Two~rectangular~blocks,~having~identical~dimensions,~can~be~array~arranged~either~in~}}}\\ {{\mathrm{configuration~I~or~in~configuration~II~as~shown~in~the~figure.~One~of~the~blocks~has~}}}\\ {{\mathrm{thermal~conductivity~\kappa~and~the~other~2x.~The~temperature~difference~between~the~same~of~the~same~in~both~the~configurations.~It~takes~9~s~to~transport~}}}\\ {{\mathrm{~ends~along~the~x-axis~is~the~same~in~both~the~configurations.~}}}\end{array}",2.0s,3.0s,4.5s,6.0s,1,0,0,0,https://drive.google.com/file/d/1ZuLHDdr4czwZVUncN6CaiN9t2dOPgslx/view?usp=sharing
2013,Physics,\begin{array}{l c}{{}}&{{{\mathrm{A~pulse~of~light~of~duration~100~}}n s~\mathrm{is~absorbed~completely~by~a~small~object~initially~at~}}}\\ {{\mathrm{~rest.~Power~of~the~pulse~is~30~}m W~{\mathrm{and~the~speed~of~light~is~3\times10^{8}~}}~m s^{-1}.~\ \mathrm{The~final~momentum~of~the~object~is~}}}\end{array},{{0.3\times10^{-17}~k g~m s^{-1}~~~~~~~}},{{1.0\times10^{-17}~k g~m s^{-1}~~~~~~~}},{{3.0\times10^{-17}~k g~m s^{-1}~~~~~~~}},{{9.0\times10^{-17}~k g~m s^{-1}~~~~~~~}},0,1,0,0,
2013,Physics,"\begin{array}{l}{{}}\\ {{\mathrm{A~particle~of~mass~}m~is~projected~from~the~ground~with~an~initial~speed~u_{o}~at~an~angle~}}\\ {{\alpha~\mathrm{~with~the~horizontal~}.~At~the~highest~point~of~its~trajectory,~it~makes~a~completely~}}\\ {{\mathrm{inelastic~collision~with~another~identical~particle,~which~was~thrown~vertically~upward~}}}\\ {{\mathrm{from~the~ground~with~the~same~initial~speed~}u_{o}~.~The~angle~that~the~composite~system~}}\\ {{\mathrm{makes~with~the~horizontal~immediately~after~the~collision~is}}}\end{array}",\frac{\pi}{4},\frac{\pi}{4} + \alpha,\frac{\pi}{2} - \alpha,\frac{\pi}{2},1,0,0,0,
2013,Physics,"\left.\begin{array}{l l}{{}}&{{{\mathrm{The~work~done~on~a~particle~of~mass~}}m{\mathrm{~by~a~force,}}\;\;K\left[\displaystyle{\frac{x}{\left(x^{2}+y^{2}\right)^{1/2}}}\hat{i}+\displaystyle{\frac{y}{\left(x^{2}+y^{2}\right)^{3/2}}}\hat{j}\right]}}\\ {{}}&{{\mathrm{(}K{\mathrm{~being~a~constant~of~appropriate~dimensions),\\~when~the~particle~is~taken~from~the~point~}}\\(a,0){\mathrm{~to~the~point~}}(0,a){\mathrm{~along~a~circular~path~of~radius~}}a{\mathrm{~about~the~origin~in~the~}}}}\\ {{}}&{{x\mathrm{-}y{\mathrm{~plane~is}}}}\end{array}\right.","\frac{2K\pi}{\,a\,}","\frac{K\pi}{\,a\,}","\frac{K\pi}{2\,a\,}",0,0,0,0,1,
2013,Physics,"One end of a horizontal thick copper wire of length 2L and radius 2R is welded to an end of another horizontal thin copper wire of length L and radius R. When the arrangement is stretched by applying forces at two ends, the ratio of the elongation in the thin wire to that in the thick wire is",0.25,0.5,2,4,0,0,1,0,
2013,Physics,"\begin{array}{l c c}{{\mathrm{~The~image~of~an~object,~formed~by~a~plano-convex~lens~at~a~distance~of~8~m~behind~}}}\\ {{\mathrm{~the~lens,~is~real~and~is~one-third~the~size~of~the~object.~The~wavelength~of~light~inside~}}}\\ {{\mathrm{~the~lens~is~\frac{2}{3}~times~the~wavelength~in~free~space.~~The~radius~of~the~curved~surface~}}}\\ {{\mathrm{~of~the~lens~is~}}}\end{array}",1,2,3,6,0,0,1,0,
2013,Physics,"\begin{array}{l}{{\mathrm{A~horizontal~stretched~string,~fixed~at~two~ends,~is~vibrating~in~its~fifth~harmonic~according~to~the~equation,~y(x,~t)~=(0.01~m)~s i n~\left[(62.8~m^{-1})~x\right]~c o s~\left[(628~s^{-1})t\right].~}}}\\ {{\mathrm{Assuming~\pi=3.14,~the~correct~statement(s)~is~(are)}}}\\\end{array}",The number of nodes is 5.,The length of the string is 0.25 m,"The maximum displacement of the midpoint of the string, from its equilibrium position is 0.01 m.",The fundamental frequency is 100 Hz.,0,1,1,0,
2013,Physics,\begin{array}{l l}{{}}&{{\mathrm{A~solid~sphere~of~radius~}R\mathrm{~and~density~}\rho\mathrm{~is~attached~to~one~end{of~a~mass-less~spring}~}}}\\ {{}}&{{\mathrm{~of~force~constant~}k\mathrm{~.~The~other~end{of~the~spring}~is~connected~to~another~solid~sphere~of~radius~}R\mathrm{~and~density~}3\rho\mathrm{~.~The~complete~arrangement~is~placed~in~a~liquid~of~density~}}}\\ {{}}\\ {{}}&{{2\rho\mathrm{~and~is~allowed~to~reach~equilibrium.~The~correct~statement(s)~is~(\mathrm{~are})}}}\\ {{}}&\end{array},"the~net~elongation~of~the~spring~is~\frac{4\pi\,R^{'}\rho\,g}{3k}~.","the~net~elongation~of~the~spring~is~\frac{8\pi\,R^{'}\rho\,g}{3k}~.",the light sphere is partially submerged.,the light sphere is completely submerged.,1,0,0,1,
2013,Physics,"\begin{array}{l l} & \mathrm{A~particle~of~mass~} M \mathrm{~and~positive~charge~} Q, \mathrm{~moving~with~a~constant~velocity} \\ & \bar{u}_{\mathrm{i}} = 4\bar{i} \, \mathrm{m s^{-1}}, \, \mathrm{enters~a~region~of~uniform~static~magnetic~field~normal~to~the~x-y~plane.} \\ & \mathrm{The~region~of~the~magnetic~field~extends~from~x=0~to~x=L~for~all~values~of~y.} \\ & \mathrm{After~passing~through~this~region,~the~particle~emerges~on~the~other~side~after~10~milliseconds} \\ & \mathrm{with~a~velocity} \, \bar{u}_{\mathrm{i}} = 2\left(\sqrt{3}\bar{i} + \hat{j}\right) \, \mathrm{m s^{-1}}. \\ & \mathrm{The~correct~statement(s)~is~(are)} \\ & \end{array}",The direction of the magnetic field is âˆ’z direction.,The direction of the magnetic field is +z direction,"The~magnitude~of~the~magnetic~field~is~\frac{50\pi M}{3Q} \, \mathrm{units.}","The~magnitude~of~the~magnetic~field~is~\frac{100\pi M}{3Q} \, \mathrm{units.}",1,0,1,0,
2013,Physics,"\begin{array}{l c}{{{\mathrm{Two~non-conducting~solid~spheres~of~radii~}}R\mathrm{~and~2}R\mathrm{,~having~uniform~volume~charge}}}\\ {{{\mathrm{densities~}}\rho_{1}\mathrm{~and~}\rho_{2}\mathrm{~respectively,~touch~each~other.~The~net~electric~field~at~a~distance}}}\\ {{\,}}\\ {{2R\mathrm{~from~the~centre~of~the~smaller~sphere,~along~the~line~joining~the~cenntres~of~the}}}\\ {{{\mathrm{s pheres,~is~zero.~The~ratio~}}{\frac{\rho_{1}}{\rho_{2}}}\mathrm{~can~be}}}\\ {{\,}}\end{array}",-4,-{\frac{32}{25}},{\frac{32}{25}},4,0,1,0,1,
2013,Physics,"\begin{array}{l}{{\mathrm{~in~the~circuit~shown~in~the~figure,~there~are~two~parallel~plate~capacitors~each~of~two~parallel~plate~capacitors~each~of~two~parallel~plate~capacitor~C_{1}~and~C_{2}~}}}\\ {{\mathrm{~then~released.~The~switch~}S_{2}~is~then~pressed~to~charge~the~capacitor~C_{2}.~After~some~of~two~parallel~plate~capacitor~C_{1}~and~C_{2}~}}\\ {{\mathrm{~time,~}S_{2}~is~released~and~then~S_{3}~is~pressed.~After~some~time,}}\\ \end{array}",~~~the~charge~on~the~upper~plate~of~}C_{1}~is~2C V_{0}.,~~~the~charge~on~the~upper~plate~of~}C_{1}~is~C V_{0}.,~~~the~charge~on~the~upper~plate~of~}C_{2}~is~0.,~~~the~charge~on~the~upper~plate~of~}C_{2}~is-C V_{0}.,0,1,0,1,https://drive.google.com/file/d/1PRD0zuAc43dBDrVDydEfci2o2oCYGUNj/view?usp=sharing
2013,Chemistry,"\begin{array}{c c}{{\mathrm{The~compound~that~does~NOT~liberate~}C O_{2},\mathrm{~on~treatment~with~aqueous~sodium}}}\\ {{\mathrm{bicarbonate~solution,~is}}}&{{}}\\ \end{array}",Benzoic~acid,Benzenesulfophonic~acid,Saliicylic~acid,Carb o l i c a c i d ,0,0,0,1,
2013,Chemistry,"\begin{array}{c c c c c}{{\mathrm{Connectrated~nitric~acid,~upon ~long~standing~,~turns~yellow~brown~due~to~the~formation~of,~}}}&&\end{array}",{{N O}},{{N O_{2}}},{{N_{2}O}},{{N_{2}O_{4}}},0,1,0,0,
2013,Chemistry,"\begin{array}{l l}{{\mathrm{Methylene~blue,~from~its~aqueous~solution,~is~adsorbed~on~activated~charcoal~at~\alpha~}}}\\ {{\,25~\mathrm{^{\circ}C.~For~this~process,~the~correct~statement~is~}}}\\\end{array}",The~adsorption~requires~activation~at~25~\mathrm{^{\circ}C.~}},The~adsorption~is~accompanied~by~a~decrease~in~enthalpy.,The~adsorption~increases~with~increase~of~temperature.,The~adsorption~is~irreversible,0,1,0,0,
2013,Chemistry,Sufide ores are common for the metals,"Ag,Cu and Pb","Ag,Cu and Sn","Ag,Mg and Pb","Al,Cu and Pb",1,0,0,0,
2013,Chemistry,"{\begin{array}{l}{{\mathrm{The~arrangement~of~X~^{-}~ions~around~A~^{+}~ion~in~solid~A X~is~given~in~the~figure~(not~}}}\\ {{\mathrm{drawn~to~scale).~if~the~radius~of~X~^{-}~is~250~p m,~the~radius~of~A~^{+}~is~}}}\\ \end{array}}","104\p,m","125\,p m","183\,p m","57\,p m",1,0,0,0,https://drive.google.com/file/d/107jFhhX9BOL9qc_RxPxLUW6-l-HjAaGY/view?usp=sharing
2013,Chemistry,"\begin{array}{c c c}{{{\mathrm{Upon~treatment~with~ammonium~}}H_{2}S,{\mathrm{the~metal~ion~that~precipitates~as~a~sulfide~is}}}}\\ \end{array}",&{{F e(\mathrm{III})}},{{Al(\mathrm{III})}},{{M g(\mathrm{II})}},{{Zn(\mathrm{II})}},0,0,0,1,
2013,Chemistry,"\begin{array}{l c}{{}}&{{{\mathrm{The~standard~enthalpies~of~formation~of~}}C O_{2}(g),\,\,H_{2}O(l)\,\,{\mathrm{and~glucose}}(s)\,\,{\mathrm{at~25~^{\circ}C~}}\,{\mathrm{are}}}}\\ {{}}&{{\mathrm{~-400~k J/m o l,\,-300~k J/m o l~{\mathrm{and~-1300~}}\,k J/m o l,\,\,respectively.~\,The~standard~enthalpy~of~formation~of~}}}\\ {{}}&{{{\mathrm{combustion~per~gram~of~glucose~at~25~^{\circ}C~}\,{\mathrm{is}}}}}\\ {{}}&\end{array}",~~+2900~k J,-2900~k J,-16.11~k J,~~+16.11~k J,0,0,1,0,
2013,Chemistry,"\begin{array}{l l}{{\mathrm{Consider~the~following~complex~ions,~}P,~Q~{\mathrm{and}}~R.}} {{\ }}&{{{}}} {{P=[F e F_{6}]^{3^{-}},Q=[V(H_{2}O)_{6}]^{2^{+}}~{\mathrm{and}}~R=[F e(H_{2}O)_{6}]^{2^{+}}.}}{{\ }}&{{{}}}{{\ }}&{{{}{\mathrm{The~correct~order~of~the~complex~ions,~according~to~their~spin-only~magnetic~moment}}}}\\ {{\ }}&{{{}}}\\ {{\ }}&{{{}}}\\ {{\ }}&{{{\mathrm{values~(in~}B.M.{\mathrm{)}}}{\mathrm{is}}}}\\ {{\ }}&{{{}}}\\ {{\ }}&\end{array}",R<Q<P,Q<R<P,R<P<Q,Q<P<R,0,1,0,0,
2013,Chemistry,"\begin{array}{l}{\scriptstyle{\mathrm{In~the~reaction,}}}\\ {\scriptstyle{P+Q\,\,{\cfrac{}{}}\,R+S}}\\ {\scriptstyle{\mathrm{the~time~taken~for~75\%~reaction~of~}P{\mathrm{~is~twice~the~time~taken~for~50\%~reaction~of~}P.}}}\\ {\scriptstyle{\mathrm{~The~concentration~of~}Q{\mathrm{~varies~with~reaction~time~as~shown~in~the~figure.~The~overall~efficiency~}}}\\ {\scriptstyle{\mathrm{order~of~the~reaction~is}}}\end{array}",2,3,0,1,0,0,0,1,https://drive.google.com/file/d/1UznyP5tITcQ2Tta-4CTBjXtasma6hmIU/view?usp=sharing
2013,Chemistry,"\begin{array} \scriptstyle{K I}\;\mathrm{in~acetone,~undergoes~}S_{N}2\;\mathrm{reaction~with~each~of~}P,Q,R\;\mathrm{and~}S.\;\mathrm {The~rates~of~the~reaction~vary~as}\;\end{array}:",P\!>\!Q\!>\!R\!>\!S,S\!>\!P\!>\!R\!>\!Q,P\!>\!R\!>\!Q\!>\!S,R\!>\!P\!>\!S\!>\!Q,0,1,0,0,https://drive.google.com/file/d/1Fnglw7-qMX25gB2VXtEmfElBGt4eIAUS/view?usp=sharing
2013,Chemistry,\begin{array}{l l}{{{\bf{\overline{{{31.}}}}}\ \ \ \mathrm{The~pair(s)~of~coordinationcomplexes~/ions~exhibiting~the~same~kind~of~isomorphism}}}\\ {{{}}}&{{{\mathrm{is(are)}}}}\\ \end{array}.,{{{[C r(N H_{3})_{5}C l]C l_{2}~and~[C r(N H_{3})_{4}C l_{2}]C l}}},{{{[C o(N H_{3})_{4}C l_{2}]^{+}~and~[P t(N H_{3})_{2}(H_{2}O)C l]^{+}}}},{{{[C o B r_{2}C l_{2}]^{2}~and~[P t B r_{2}C l_{2}]^{2}}}},{{{[P t(N H_{3})_{3}(N O_{3})]C l~and~[P t(N H_{3})_{3}C l]B r}}},0,1,0,1,
2013,Chemistry,"\begin{array}{c c c c c c c c c c c c c c c}{{\mathrm{Among~}P,~Q,~R~\mathrm{and}~S,~\mathrm{the~aromatic~compound(s)~is/are}}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}\\ {{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&{{}}&\end{array}",P,Q,R,S,1,1,1,1,https://drive.google.com/file/d/1UQ7WAXUlcjiDmO4goEAF6OCcXAa8r9LY/view?usp=sharing
2013,Chemistry,"The hyperconjugative stabilities of tert-butyl cation and 2-butene, respectively, are due to",{{\sigma{\rightarrow}p\;(\mathrm{empty)~and~}\sigma{\rightarrow}\pi^{*}\;\mathrm{electron~delocalisations}.}}\\ {{}}&{{}},{{\sigma{\rightarrow}\sigma^{*}\;\mathrm{and~}\sigma{\rightarrow}\pi\;\mathrm{electron~delocalisations}.}}\\ {{}}&{{}},{{\sigma{\rightarrow}p\;(\mathrm{filled})\;\mathrm{and~}\sigma{\rightarrow}\pi\;\mathrm{electron~delocalisations}.}}\\ {{}}&{{}},{{p\;(\mathrm{filled}){\rightarrow}\sigma^{*}\;\mathrm{and~}\sigma{\rightarrow}\pi^{*}\;\mathrm{electron~delocalisations}.}},1,0,0,0,
2013,Chemistry,"\begin{array}{l l l}{{{\bf{34}}.\ \ \ \mathrm{{Benzene~and~ naphthalene~form~an~ideal~solution~at~room~temperature.}\ \ \mathrm{For~this}}}} {{}}&{{\mathrm{process,~the~true~statement(s)~is(are)}}}\\ {{}}&{{}}\\ \end{array}",\ \ \ \Delta G\ \mathrm{is~positive},\ \ \ \Delta S_{\scriptscriptstyle\mathrm{warm}}\ \mathrm{is~positive},\ \ \ \Delta S_{\scriptscriptstyle\mathrm{warmative}}=0,\ \ \Delta H=0,0,1,1,1,
2013,Chemistry,"\begin{array}{r l r l r l}{{}}&{{}}&{{}}&{{{\bf{35.}}\;\;\;\mathrm{The~initial~rate~of~hydrolysis~of~methyl~acetate~(1M)~by~a~weak~acid~(H A,~1M)~is}}}\\ {{}}&{{}}&{{}}&{{{\bf{1/100^{th}~of~that~of~a~strong~acid~(}H X,~1M),~at~25~^{\circ}C.~T h e~K_{a}~of~H A~is}}}\\ {{}}&{{}}&{{}}\end{array}",~~\;\;1\times10^{-4}~~~~~~~,~~\;\;1\times10^{-5}~~~~~~~,~~\;\;1\times10^{-6}~~~~~~~,~~\;\;1\times10^{-3}~~~~~~~,1,0,0,0,
